Anime_id,Title,Genre,Synopsis,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link
1123,Bouken Ou Beet Excellion,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']","It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.  
",TV,['Sony Music Entertainment'],['Toei Animation'],6.8,2612.0,5249.0,5784.0,25.0,Manga,"Oct 6, 2005 to Mar 30, 2006",https://myanimelist.net/anime/1123/Bouken_Ou_Beet_Excellion
1312,Chikyuu Bouei Kigyou Dai-Guard,"['Adventure', 'Comedy', 'Mecha', 'Military', 'Sci-Fi']","Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world.  
 
(Source: ANN)",TV,"['Sotsu', 'TV Tokyo Music']",['Xebec'],7.21,1949.0,5089.0,5774.0,26.0,Original,"Oct 5, 1999 to Mar 28, 2000",https://myanimelist.net/anime/1312/Chikyuu_Bouei_Kigyou_Dai-Guard
1985,UFO Robo Grendizer,"['Mecha', 'Sci-Fi', 'Shounen']","Duke Fleed is a survivor of the Fleed Planet who is escaped to the Earth, onboard a mysterious ""spaceship"", where is raised by Dr. Umon as his adoptive son, and known as Daisuke Umon. Years after his arrival, he's faced with the threat of King Vega and his army, who want to conquer the Earth. With his friends Koji and Hikaru (and later his younger sister Maria Grace), Duke decides to fight back using his best weapon - the almighty Grendizer.",TV,"['Fuji TV', 'Dynamic Planning']",['Toei Animation'],7.65,2797.0,4957.0,5751.0,74.0,Unknown,"Oct 5, 1975 to Feb 27, 1977",https://myanimelist.net/anime/1985/UFO_Robo_Grendizer
35183,Gurazeni,"['Comedy', 'Sports', 'Drama', 'Seinen']","This is the story of Natsunosuke Honda, a pro baseball player—a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are. 
 
(Source: MAL News)",TV,['Ai Addiction'],['Studio Deen'],5.68,1068.0,4554.0,5740.0,,Manga,"Apr 6, 2018 to Jun 22, 2018",https://myanimelist.net/anime/35183/Gurazeni
655,Galaxy Angel 4,"['Comedy', 'Sci-Fi']","Starting out with the new Galaxy Angel, Chitose Karasuma, the Angel Troupe continue their search for The Lost Technology while running into different kinds of mishaps. 
 
(Source: ANN)",TV,"['Bandai Visual', 'Studio Fantasia', 'Studio Flag', 'Lantis', 'Broccoli']","['Madhouse', 'feel.']",7.32,2288.0,5271.0,5661.0,13.0,Game,"Jul 7, 2004 to Sep 29, 2004",https://myanimelist.net/anime/655/Galaxy_Angel_4
2391,SD Gundam Force,"['Adventure', 'Comedy', 'Fantasy', 'Mecha']","The land of Neotopia is attacked by the Dark Axis, evil invaders from another dimension who wish to conquer this land. Neotopia's answer: the secret Super Dimensional Guard and their defenders, the Gundam Force. Led by Captain Gundam, the Gundam Force and its team of Gundams with special abilities are aided by a boy named Shute as they stop at nothing to defend the land from the Dark Axis and to defeat them once and for all.  
 
(Source: ANN)",TV,"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Sunrise'],5.49,2356.0,5185.0,5659.0,52.0,Original,"Jan 7, 2004 to Dec 29, 2004",https://myanimelist.net/anime/2391/SD_Gundam_Force
34771,Dynamic Chord,['Music'],"Dynamic Chord is a record company and music agency representing the hottest artists right now with, in particular, four of the country's most popular bands. 
 
They are rêve parfait with its own unique world view and progressive sound, Liar-S, an emo rock band, KYOSO, a group of highly-polished performers, and apple-polisher, which fuses dance with rock and roll. Against the backdrop of Japan's four seasons, comes a realistically depicted documentary movie about the encounters, breakups and trajectory of these 16 band members as they vie for musical preeminence. 
 
(Source: TBS Global Business)",TV,"['TBS', 'Nippon Columbia', 'Zack Promotion', 'Overlap', 'Nichion', 'Asgard']","['Studio Pierrot', 'Pierrot Plus']",4.69,685.0,5053.0,5657.0,12.0,Visual novel,"Oct 6, 2017 to Dec 22, 2017",https://myanimelist.net/anime/34771/Dynamic_Chord
1942,Rocket Girls,"['Sci-Fi', 'Adventure', 'Space']","When Yukari Morita decided to look for her missing father who disappeared in the South Seas, she had no idea how far her journey would take her. Just traveling to the Solomon Islands is a long way for a high school girl to go on her own, but then Yukari runs into an astronaut from the Solomon Space Association, which has been trying to build a rocket powerful enough launch a man into space. 
 
Upon meeting the petite Yukari, however, SSA director Nasuda realizes that she's small enough to go up in a less powerful rocket the SSA has already built! So he offers her a deal: if Yukari agrees to become their astronaut, the SSA will help find her missing father! Will Yukari have the right stuff to blast off in the wildest space quest ever?   
 
(Source: Sentai Filmworks)",TV,['Happinet Pictures'],['Mook DLE'],6.98,1992.0,5177.0,5641.0,12.0,Light novel,"Feb 22, 2007 to May 18, 2007",https://myanimelist.net/anime/1942/Rocket_Girls
1186,Battle Athletess Daiundoukai (TV),"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes.  
 
(Source: ANN)",TV,"['TV Tokyo', 'Genco', 'Pioneer LDC']",['AIC'],7.0,2174.0,5214.0,5636.0,26.0,Original,"Oct 3, 1997 to Mar 27, 1998",https://myanimelist.net/anime/1186/Battle_Athletess_Daiundoukai_TV
311,Ace wo Nerae!,"['Sports', 'Drama', 'Romance', 'School', 'Shoujo']","On her first day at Nishi High School, 15-year-old Hiromi Oka is inspired by top player Reika ""Ochoufujin"" Ryuuzaki to take up tennis. Shortly after joining the school's tennis club, she encounters Jin Munakata, the club's new coach. Munakata puts everyone under rigorous training that even puts Ochoufujin to shame. Despite the hardships, Hiromi's determination prompts the coach to select her as part of the club's main players. Because of this, Hiromi must endure the peer pressure from her seniors to become an ace tennis player. 
 
(Source: ANN)",TV,"['Tokyo Movie Shinsha', 'Mainichi Broadcasting System']",['Madhouse'],7.04,1362.0,4913.0,5635.0,26.0,Manga,"Oct 5, 1973 to Mar 29, 1974",https://myanimelist.net/anime/311/Ace_wo_Nerae
